Number of Trajectories,EVD VAIRL POL,PR VAIRL POL,PR True VAIRL POL,PR Reward,Runtime VAIRL POL
1.0,10.223763741254324,0.9148937915261286,-0.012873250616409692,,0.0004558563232421875
2.0,9.564533341775405,0.9231400694881943,0.2124819885511808,0.06603193914271993,0.0005099773406982422
4.0,9.517974926302916,0.9230014485537676,0.06299678835136015,0.03330325428308026,0.0007114410400390625
8.0,9.197541513788721,0.925082119192517,0.008556984879796507,0.0410777112516136,0.0011143684387207031
16.0,8.660866242726748,0.9244783951556225,0.013027150325720216,0.08202640551107296,0.001909494400024414
32.0,6.855290362141616,0.9402553074560002,0.29696111848105505,0.10802814203524903,0.003583669662475586
64.0,4.421260715407709,0.9494088009454469,0.5567768070835174,0.1780613131726595,0.006913423538208008
128.0,2.559254302447968,0.9619955027356033,0.7269113066471707,0.25349057332510544,0.013172388076782227
256.0,0.8444440493769634,0.9716215400785387,0.8062583139708882,0.3757123640481382,0.02565145492553711
512.0,0.27516280302650864,0.9748165113723408,0.8354483012353848,0.425213051754872,0.09357547760009766
1024.0,0.14009000331342986,0.9796469465634418,0.8410696532554683,0.5033994534796904,0.10307955741882324
