Number of Trajectories,EVD VAIRL,PR VAIRL,PR Reward,Runtime VAIRL
1.0,10.327289427055955,-0.05676695892449294,,0.000392913818359375
2.0,10.139454248129548,0.19506455394928687,0.06603193914271993,0.0004012584686279297
4.0,10.076652107845232,0.041553068330429335,0.03330325428308026,0.0006122589111328125
8.0,10.078252676588344,0.008567620706610737,0.0410777112516136,0.0006928443908691406
16.0,9.660536565438909,0.015195605193154084,0.08202640551107296,0.0012514591217041016
32.0,7.974410245489651,0.2957041340005527,0.10802814203524903,0.002148866653442383
64.0,4.423004282998255,0.5739564531116795,0.1780613131726595,0.004660129547119141
128.0,1.6705838058244418,0.7173121681621284,0.25349057332510544,0.00888204574584961
256.0,0.7732950544196394,0.7814386539930769,0.3757123640481382,0.017577171325683594
512.0,1.6940647902709367,0.7863550768601701,0.425213051754872,0.0327761173248291
1024.0,2.877733138755962,0.7831169410037905,0.5033994534796904,0.06497931480407715
