Number of Trajectories,EVD IAVI,PR IAVI,PR True IAVI,PR Reward IAVI,Runtime IAVI
1.0,4819.646136597305,0.8295373579893005,-0.018307525340256352,-0.1320798492033046,34.836791038513184
2.0,4350.231625807946,0.8534360809797509,0.11565555315497252,-0.15191767238439766,36.68127226829529
4.0,4314.252430241895,0.8600989667606251,0.13640427563804355,-0.10855382655593329,40.974905490875244
8.0,4162.667015541375,0.8751903966067487,0.06634334842318752,-0.06851857678109338,45.711644649505615
16.0,3861.2917714701052,0.8410492157378004,-0.008621440905855315,-0.1062484837064951,45.871683835983276
32.0,2947.6838837262976,0.8054243711049526,0.16699013341049856,0.06730122619290374,46.5926616191864
64.0,1517.6811870346578,0.8120367789669898,0.24645996118301777,0.14955815356084753,60.24120473861694
128.0,639.6161676099678,0.7561064098135539,0.2719228412553153,0.11570723314662028,67.33905816078186
256.0,251.89212380170784,0.6848857318393565,0.09696715330704538,0.08339272732761302,73.29202437400818
512.0,37.55325458324636,0.7184652000131818,0.10680118944039838,-0.10242020821519215,72.35998868942261
1024.0,11.89608851586831,0.6993148144858201,0.20504171828172116,-0.2589524996341627,66.15083241462708
