Number of Trajectories,EVD VAIRL,EVD IAVI,EVD IQL,Runtime VAIRL,Runtime IAVI,Runtime IQL
1.0,10.313128947117267,10.29709667206575,10.326477611036921,0.0002791881561279297,30.660088062286377,0.042791128158569336
2.0,10.30103323806144,10.295650769945185,10.326462199837579,0.0003204345703125,31.081005334854126,0.07608413696289062
4.0,10.090983719456238,9.942635890107004,10.317187732698997,0.0004477500915527344,32.47510576248169,0.14488577842712402
8.0,10.008330958069408,9.635423740777023,10.311543526830615,0.0007524490356445312,35.91972041130066,0.2738196849822998
16.0,9.659565504923297,8.228786600161218,10.281263731700607,0.001272439956665039,55.11853361129761,0.5419118404388428
32.0,9.689883253831995,7.239952393041388,10.260843854537235,0.002313375473022461,55.05342078208923,1.0728681087493896
64.0,9.447469884615114,5.735720227045494,10.195216124772454,0.004047393798828125,57.815593004226685,2.068112850189209
128.0,8.83183853915666,2.74966296232183,9.928827155664365,0.007883071899414062,66.67644548416138,4.119838237762451
256.0,8.338247303499877,1.3086366804864933,9.432727095359786,0.01650094985961914,69.17520928382874,8.217952966690063
512.0,6.707815269144272,0.29659343771361346,8.08259647294367,0.03332185745239258,72.65536284446716,15.698283672332764
1024.0,5.896504786157446,0.08712461515691643,5.31227030984704,0.0679776668548584,62.06588864326477,31.81436800956726
2048.0,5.593093119359198,0.041965327689927265,2.607991666145944,0.13200020790100098,57.388752937316895,64.8519115447998
