Number of Trajectories,EVD VAIRL,PR VAIRL,PR True VAIRL,PR Reward,Runtime VAIRL
1.0,10.536102242743596,0.9136472437920411,-0.04092837680125672,-0.036222000122091626,0.0003249645233154297
2.0,10.501615872984527,0.9135600471013744,-0.07568745212950205,-0.028057440647836773,0.0003821849822998047
4.0,10.205680326897529,0.9154196254702381,0.18102806276202096,0.01850052849664481,0.0004961490631103516
8.0,9.338265482546753,0.9215295519928999,0.10161754555166744,0.07650090964859702,0.0007891654968261719
16.0,8.954877029854948,0.9228529892561236,0.15374202694184166,0.09158359488929553,0.001340627670288086
32.0,7.70513610049453,0.9350727739904285,0.13956470383383204,0.13101868252357335,0.002420186996459961
64.0,6.8916948702408405,0.9316604222204014,0.2609410286015452,0.13206863531472673,0.004742145538330078
128.0,2.896868115407834,0.9727477630282064,0.33855352261221716,0.21020998618265352,0.00909113883972168
256.0,0.9136644637923771,0.9651169027144106,0.6138942248402531,0.2747339016885253,0.02739572525024414
512.0,1.6185992333884176,0.9368089198965095,0.8521001208620896,0.3892912288514706,0.03484010696411133
1024.0,3.3493922284009696,0.9213679435648513,0.8862970401592175,0.49888508759695477,0.07143545150756836
