Number of Trajectories,EVD VAIRL POL,PR VAIRL POL,PR True VAIRL POL,PR Reward,Runtime VAIRL POL
1.0,10.25527166797282,0.9149808554382204,-0.04092837680125672,-0.036222000122091626,0.0004725456237792969
2.0,10.23133518924288,0.9143007581895352,-0.07568745212950205,-0.028057440647836773,0.0005304813385009766
4.0,10.126425652794806,0.9148993530101733,0.18102806276202096,0.01850052849664481,0.0007212162017822266
8.0,9.274792989497493,0.919815565125408,0.10161754555166744,0.07650090964859702,0.0011360645294189453
16.0,8.26798500065935,0.921160450641188,0.15374202694184166,0.09158359488929553,0.0019042491912841797
32.0,6.800851697879931,0.9204712479566839,0.13956470383383204,0.13101868252357335,0.0034291744232177734
64.0,5.77103946756038,0.9272624901937145,0.2609410286015452,0.13206863531472673,0.006828784942626953
128.0,3.3926294934131187,0.9434064225867314,0.33855352261221716,0.21020998618265352,0.013242006301879883
256.0,1.209269843626315,0.9607707285109904,0.6138942248402531,0.2747339016885253,0.02539825439453125
512.0,0.3628424723327403,0.9719907917918218,0.8521001208620896,0.3892912288514706,0.05178523063659668
1024.0,0.13683580566419207,0.9767805885040272,0.8862970401592175,0.49888508759695477,0.10212135314941406
