Number of Trajectories,EVD IAVI,PR IAVI,PR True IAVI,PR Reward IAVI,Runtime IAVI
1.0,4976.476448144553,0.8303736297948371,-0.09253171785961073,-0.2146000236902571,29.046255350112915
2.0,4947.2267930034295,0.8298974490622281,-0.2557752290409814,-0.15031533031026834,30.82577109336853
4.0,4911.464691701114,0.8177695042399642,0.05425002988087751,0.02839077300644186,48.17493557929993
8.0,4551.79984321902,0.8077168282925983,-0.21450211497520014,0.01439389149778632,49.10082173347473
16.0,3939.3988590643585,0.8352955139090228,-0.25057896872431196,-0.004205127014426469,57.525333881378174
32.0,3255.7102877901316,0.8075580365795517,-0.24158909845247634,-0.036918896486727866,51.49893307685852
64.0,2529.5214307351807,0.8035477356049112,-0.25919439714354464,-0.0011267813497666378,62.140785694122314
128.0,1161.9626881852514,0.7511509096073885,-0.19569818164152253,0.019212681984111843,67.20267724990845
256.0,354.57064050702763,0.7014991163420259,-0.002028348574357133,0.021791990044247225,80.44578099250793
512.0,72.24293437210059,0.7174515671653799,-0.004234342387994563,-0.12646642926563617,70.20750045776367
1024.0,33.22747190914239,0.7083238849065708,0.2593496705834595,-0.237275631905631,65.47753357887268
