Number of Trajectories,EVD VAIRL,PR VAIRL,PR Reward,Runtime VAIRL
1.0,4996.002048468221,-0.08725325272236671,0.0,0.00039005279541015625
2.0,4973.655087884857,0.10831894970926058,0.0,0.0004379749298095703
4.0,4759.329174379408,0.18167001702428698,0.06620712919044747,0.0005512237548828125
8.0,4592.07169708241,0.3059924348944061,0.06777529758033421,0.0009093284606933594
16.0,4211.115659892613,0.40987952331185223,0.08919302920285002,0.0014145374298095703
32.0,4045.047202229379,0.40521429352422317,0.12437121918061395,0.0026001930236816406
64.0,2700.654900659126,0.51567507061327,0.1772333910680991,0.006072282791137695
128.0,1794.6715146350684,0.6498235787300063,0.207990374150875,0.010257482528686523
256.0,1501.7279957285493,0.6754399265071488,0.2461160922930937,0.025005102157592773
512.0,552.1418348809299,0.7752978059574924,0.3662366605351344,0.044852256774902344
1024.0,445.8436876844464,0.7846145110377754,0.5018804392540286,0.07459139823913574
