Number of Trajectories,EVD VAIRL POL,PR VAIRL POL,PR True VAIRL POL,PR Reward,Runtime VAIRL POL
1.0,10.307130852799872,0.9147369425446065,-0.07345973595617876,0.0,0.0005040168762207031
2.0,10.308103602917054,0.9147476382105629,-0.10996550001199196,0.0,0.0005185604095458984
4.0,9.878255393865668,0.9199396339407498,-0.01179442698614869,0.054333000183137435,0.0007183551788330078
8.0,9.649453327293065,0.9196075425614633,0.12196929972411229,0.043064005812478455,0.0011088848114013672
16.0,9.000255925290197,0.9232414713628314,0.3040669483885115,0.06356822141207501,0.0018818378448486328
32.0,8.098175215804543,0.924892886675746,0.2656962398802185,0.10170639595616114,0.0034034252166748047
64.0,6.082784325100802,0.9331528134947548,0.3266633267663655,0.156589547191634,0.0067174434661865234
128.0,3.1192150060134445,0.9524738557366731,0.6441451518540134,0.20606996264334518,0.012793540954589844
256.0,1.4457231712941576,0.968574466678793,0.7341101384319283,0.2595314517734068,0.025556325912475586
512.0,0.348110943100409,0.9763231095143567,0.8684414607564838,0.3857966935835041,0.05167388916015625
1024.0,0.09864456093193125,0.9792099108395335,0.9013487042446753,0.5110391835140591,0.14263606071472168
