Number of Trajectories,EVD VAIRL,PR VAIRL,PR True VAIRL,PR Reward,Runtime VAIRL
1.0,10.229434022191752,0.9146002735870515,-0.005815514679892324,0.031165050338082957,0.0003573894500732422
2.0,10.229434022191752,0.9146002735870515,-0.005815514679892324,0.031165050338082957,0.0003819465637207031
4.0,10.195728523319092,0.9138263659026337,0.15998455776027617,0.009797071363368909,0.00048041343688964844
8.0,9.80145803870878,0.9177208884715022,0.1895420604707342,0.03432385418558323,0.00077056884765625
16.0,8.962977614254218,0.9274060006009084,0.30734809992220785,0.057150163677391466,0.001361846923828125
32.0,7.88752998975316,0.9364473635392013,0.3327559108232441,0.08359794269866612,0.002362489700317383
64.0,4.461111369671797,0.9562019156598066,0.5256742744075095,0.16630365904287214,0.0043792724609375
128.0,2.5003832072866756,0.971701059260398,0.7551182121703611,0.21828534087940324,0.008774995803833008
256.0,0.7793330331119914,0.969069975394713,0.8142774368364042,0.28008899892774713,0.016654491424560547
512.0,1.3334752239467047,0.9387109749431498,0.892898899790876,0.37819688791411926,0.03347659111022949
1024.0,2.951065270004781,0.9130267988855635,0.9432325159940145,0.5129327146543052,0.06682562828063965
