Number of Trajectories,EVD VAIRL POL,PR VAIRL POL,PR True VAIRL POL,PR Reward,Runtime VAIRL POL
1.0,10.25115131374163,0.915428775869552,-0.005815514679892324,0.031165050338082957,0.0004508495330810547
2.0,10.248580474542454,0.915374710340835,-0.005815514679892324,0.031165050338082957,0.0005011558532714844
4.0,9.771070858464565,0.9209588091447413,0.15998455776027617,0.009797071363368909,0.0007047653198242188
8.0,9.318881125578546,0.925130239394649,0.1895420604707342,0.03432385418558323,0.0010983943939208984
16.0,8.780210584638663,0.930111251182346,0.30734809992220785,0.057150163677391466,0.0018684864044189453
32.0,7.889828523977261,0.9308376480729615,0.3327559108232441,0.08359794269866612,0.003431081771850586
64.0,5.036747296528818,0.9422770669667179,0.5256742744075095,0.16630365904287214,0.006778717041015625
128.0,2.5591674626155356,0.9602233241821505,0.7551182121703611,0.21828534087940324,0.013119697570800781
256.0,1.0797962108237043,0.9733833482207003,0.8142774368364042,0.28008899892774713,0.026257991790771484
512.0,0.5561850576714535,0.9770026956371731,0.892898899790876,0.37819688791411926,0.05206751823425293
1024.0,0.19082590038688413,0.9781759962977579,0.9432325159940145,0.5129327146543052,0.10231399536132812
