Number of Trajectories,EVD IQL,PR IQL,PR True IQL,PR Reward IQL,Runtime IQL
1.0,10.32489478566129,0.9147604279275611,-0.02925580486860668,0.009558539133076345,1.36212158203125
2.0,10.159456120502568,0.917350749245898,0.036207987866870156,0.009513641669865479,40.164793729782104
4.0,9.854206282101023,0.9217331582001556,0.01495075543581714,0.0009757178854250037,93.49660563468933
8.0,9.799106430270795,0.9216872387736161,-0.04131017135541623,-0.02467462109207946,188.11145043373108
16.0,8.79063395718806,0.9291827500357918,-0.013018169926800579,-0.012213554459006138,273.28230834007263
32.0,8.08421036121646,0.9285274190406356,-0.041162835718217515,-0.009060783662885335,386.23913979530334
64.0,5.799272967551721,0.9370919097431742,0.015621639165442581,0.04376754051277029,1157.1056470870972
128.0,3.5204575336482855,0.9419504219557631,0.06062672197634683,0.07117028661876987,2364.7409386634827
256.0,1.5045205719077024,0.9648437215012998,0.07380169369642911,0.07713511512610181,3790.925133705139
512.0,0.3572305381884118,0.9747784568551349,0.1409985767006217,0.053988967142498984,7196.339202404022
1024.0,0.15423278819556763,0.9806462531324386,0.17013879381163732,0.058299373873604336,12085.222744703293
