Number of Trajectories,EVD IAVI,PR IAVI,PR True IAVI,PR Reward IAVI,Runtime IAVI
1.0,10.32488276113275,0.9147590589069631,-0.08135278886833601,0.010625330748998183,61.163455963134766
2.0,10.170136227776535,0.9171757932625199,0.06497146163693432,0.04001288014962131,62.26579713821411
4.0,9.85384655247284,0.9216608043397053,0.019331173174370213,-0.005496602814531126,62.731422662734985
8.0,9.78512875455915,0.921747634168566,-0.13227856084163536,-0.07909288923607874,62.76506853103638
16.0,8.769592350864603,0.9293188352100642,-0.06545775836175476,0.0011617035970930304,69.44691967964172
32.0,8.059236835454907,0.928365122483644,-0.17611612953793782,-0.07971910261280613,76.52988290786743
64.0,5.769845692732543,0.936867502410403,-0.0736967698492903,-0.008876855109494661,66.66725850105286
128.0,3.512802269459521,0.9421631818971973,-0.05559223303452667,0.011900253861545864,74.641268491745
256.0,1.486248569031884,0.9652290091445066,0.0984248869713783,-0.04594969800899911,108.63554072380066
512.0,0.36218259654336615,0.9747949738344011,-0.10296452927912247,-0.12579907228412804,112.16912174224854
1024.0,0.1546874225070966,0.9805428521936695,-0.2006832626875186,-0.29006153022367487,104.48672890663147
