Number of Trajectories,EVD VAIRL,PR VAIRL,PR True VAIRL,PR Reward,Runtime VAIRL
1.0,10.30417004766056,0.9145776353838043,-0.03049554747682951,-0.0027595468471020576,0.0002880096435546875
2.0,10.188409964267793,0.9165756769233507,-0.018366966105332044,-0.0019511354595379807,0.0003981590270996094
4.0,10.640064313195838,0.9064520542664749,0.09027164227600884,-0.04345177508100047,0.0005447864532470703
8.0,10.741833534457463,0.9029422164294515,0.014388249862850672,-0.02815902759162059,0.0007970333099365234
16.0,9.948675314543705,0.9132829146796254,0.15000396438580935,-0.010777739917846155,0.001277923583984375
32.0,9.800673883186278,0.9070789357191069,0.1320176597468111,0.028732551178412113,0.0022716522216796875
64.0,7.132633642042956,0.9260842022135788,0.40955828272338657,0.09275435178043266,0.004528999328613281
128.0,3.82992272036614,0.9350421840935406,0.4601611837122172,0.19351362413896486,0.0087890625
256.0,1.583124583528762,0.9355641203728576,0.6641462093637455,0.3085153783853419,0.017184972763061523
512.0,1.8332508718338207,0.9285658460033376,0.807785142121624,0.40782171843042525,0.03263044357299805
1024.0,3.163794577762233,0.9173618695765069,0.8569169945916763,0.504344121868575,0.06701111793518066
